epoch,train_loss,val_loss,dice_wt,dice_tc,dice_et,dice_total,precision_wt,precision_tc,precision_et,precision_total,recall_wt,recall_tc,recall_et,recall_total,f1_wt,f1_tc,f1_et,f1_total,specificity_wt,specificity_tc,specificity_et,train_accuracy,boundary_dice_wt,boundary_dice_tc,boundary_dice_et,Val_Accuracy
1,0.820350566,0.77535324,4.42E-05,0.136571878,0.041900076,0.059505395,2.42E-05,0.074689929,0.022309382,0.032341164,0.000259081,0.796420522,0.343829251,0.380169618,4.42E-05,0.136571872,0.041900076,0.059505393,0.970631442,0.933857624,0.970946189,0.622857265,0.000117917,0.040969512,0.01272979,0.9954
2,0.720627459,0.717604446,0.005221918,0.236279854,0.050510322,0.097337365,0.003143763,0.152058119,0.026329753,0.060510545,0.015405733,0.529631171,0.618804015,0.387946973,0.005221918,0.236279845,0.050510322,0.097337362,0.986609984,0.980201052,0.955877043,0.820930585,0.002874711,0.039602435,0.010307003,0.9954
3,0.578698321,0.636767585,0.059974872,0.196957861,0.136297996,0.13107691,0.049902801,0.123515036,0.078182018,0.083866618,0.07514083,0.485843387,0.531049117,0.364011111,0.059974872,0.196957854,0.136297996,0.131076907,0.996078654,0.976888239,0.987926884,0.840694429,0.011054316,0.075705968,0.013189718,0.9954
4,0.469049298,0.608547598,0.187456751,0.231712324,0.167307337,0.195492138,0.166304056,0.157579081,0.10126479,0.141715976,0.214774548,0.437565442,0.481012589,0.377784193,0.187456751,0.231712324,0.167307337,0.195492138,0.997048766,0.984318569,0.991768554,0.849522078,0.003697147,0.071377957,0.030115476,0.9954
5,0.409413555,0.589390529,0.176977907,0.221568479,0.099805338,0.166117241,0.136653688,0.146512002,0.054678473,0.112614721,0.251062148,0.454302754,0.571338671,0.425567857,0.176977907,0.221568479,0.099805338,0.166117241,0.995652286,0.982258853,0.980954027,0.864958141,0.005380059,0.0797285,0.10409367,0.9954
6,0.377433793,0.573070488,0.182119752,0.228557126,0.100454992,0.17037729,0.119050665,0.148542026,0.055734624,0.107775771,0.387296651,0.495430643,0.508324972,0.463684089,0.182119752,0.228557126,0.100454992,0.17037729,0.992144409,0.980962547,0.983394314,0.88883639,0.004995224,0.104176688,0.09916525,0.9954
7,0.363948933,0.577917539,0.174011868,0.212619246,0.087594849,0.158075321,0.105641669,0.143533543,0.048004423,0.099059878,0.493216509,0.409924505,0.499755371,0.467632128,0.174011868,0.212619246,0.087594849,0.158075321,0.988554628,0.983602677,0.980890139,0.942105092,0.006458668,0.117145399,0.081382901,0.9954
8,0.345818787,0.572207875,0.201281942,0.21293267,0.108394327,0.17420298,0.130387485,0.154201246,0.060356074,0.114981602,0.441138182,0.343925256,0.531121263,0.438728234,0.201281942,0.21293267,0.108394327,0.17420298,0.991935443,0.987353937,0.984056546,0.992342002,0.036794653,0.080098606,0.061111072,0.9954
9,0.325403608,0.54655139,0.297937702,0.225818505,0.171681983,0.23181273,0.267119429,0.150977703,0.09997082,0.172689317,0.33679458,0.447792923,0.607338877,0.46397546,0.297937702,0.225818515,0.171681983,0.231812733,0.997467154,0.983119099,0.989457083,0.995234994,0.078773977,0.083212236,0.067476013,0.9954
10,0.311266788,0.525456716,0.289243096,0.290550917,0.240109945,0.273301319,0.279576852,0.19488381,0.150965942,0.208475535,0.299601689,0.570707023,0.586335927,0.485548213,0.289243096,0.290550917,0.240109945,0.273301319,0.997883849,0.984194504,0.993641729,0.995568395,0.101013542,0.045889683,0.047974335,0.9954
11,0.308536094,0.527862016,0.275519283,0.384382499,0.289981583,0.316627788,0.311530114,0.337380992,0.195639343,0.281516816,0.246971054,0.446599553,0.560053594,0.417874734,0.275519283,0.384382499,0.289981583,0.316627788,0.998503947,0.994120049,0.995560127,0.995892179,0.102794859,0.066673406,0.054828033,0.9954
12,0.29734696,0.520869601,0.291726941,0.309603589,0.266317323,0.289215951,0.249920376,0.216439375,0.179648295,0.215336016,0.350329977,0.543584013,0.51456044,0.469491477,0.291726941,0.309603589,0.266317323,0.289215951,0.997117967,0.986807864,0.995469358,0.996164649,0.079504419,0.097809635,0.112637621,0.9954
13,0.291999991,0.526660554,0.239489444,0.254164024,0.125288269,0.206313912,0.167296311,0.170605734,0.069673068,0.135858371,0.421286665,0.498140299,0.620948992,0.513458652,0.239489444,0.254164024,0.125288269,0.206313912,0.99425225,0.983765789,0.984012779,0.996305934,0.123978446,0.11204784,0.151359595,0.9954
14,0.281807889,0.535051578,0.262735848,0.353333473,0.244356455,0.286808592,0.212710395,0.270751965,0.164424503,0.215962288,0.343526852,0.508399318,0.475523437,0.442483202,0.262735848,0.353333473,0.244356455,0.286808592,0.996514842,0.990820464,0.99534052,0.996401616,0.157683865,0.091130877,0.156464736,0.9954
15,0.283710523,0.520355231,0.277515629,0.303355776,0.225919793,0.268930399,0.247927967,0.24424305,0.136249129,0.209473382,0.315122238,0.400218279,0.660849927,0.458730148,0.277515629,0.303355776,0.225919793,0.268930399,0.997379833,0.991698263,0.991921997,0.996367891,0.133001473,0.114636542,0.116415103,0.9954
16,0.273443573,0.518293581,0.304925972,0.368820444,0.343450935,0.339065784,0.277214583,0.291047237,0.26581911,0.278026977,0.338792963,0.503315714,0.485132788,0.442413822,0.304925972,0.368820444,0.343450935,0.339065784,0.997578727,0.991781238,0.997416408,0.996380865,0.099538783,0.109388957,0.097782388,0.9954
17,0.261534234,0.483584224,0.301313753,0.285316771,0.249311391,0.278647305,0.204957756,0.197012096,0.158575146,0.186848332,0.568651847,0.517083882,0.582771676,0.556169135,0.301313753,0.285316771,0.249311391,0.278647305,0.993953719,0.985871722,0.994037546,0.996632592,0.1646868,0.156693077,0.179237192,0.9954
18,0.252714885,0.48902245,0.354584658,0.299636036,0.317882912,0.324034536,0.294986611,0.215043701,0.221480125,0.243836812,0.444361973,0.493937661,0.562889717,0.50039645,0.354584658,0.299636036,0.317882912,0.324034536,0.997088961,0.987913432,0.996184911,0.996610449,0.101142142,0.087677618,0.150855147,0.9954
19,0.242080948,0.474106421,0.321924985,0.427897113,0.301135342,0.350319147,0.293111248,0.357197592,0.201682125,0.283996988,0.357021274,0.533489868,0.594094341,0.494868494,0.321924985,0.427897113,0.301135342,0.350319147,0.997639909,0.99356413,0.9954657,0.996679196,0.138516028,0.111262114,0.154598966,0.9954
20,0.235686588,0.489458369,0.310783386,0.299816229,0.164230635,0.25827675,0.238351059,0.212347316,0.093094624,0.181264333,0.446456818,0.50981731,0.696263872,0.550846,0.310783386,0.299816229,0.164230635,0.25827675,0.996089492,0.987323053,0.98692151,0.996452019,0.184385794,0.135890429,0.182547753,0.9954
21,0.235898284,0.473709257,0.28118856,0.314555717,0.16388302,0.253209099,0.197999145,0.234598407,0.092366214,0.174987922,0.484933591,0.47719702,0.726028004,0.562719538,0.28118856,0.314555717,0.16388302,0.253209099,0.994615941,0.989563037,0.986243839,0.996792153,0.161122046,0.099359885,0.147144328,0.9954
22,0.226401327,0.475789586,0.313628538,0.249054246,0.165388899,0.242690561,0.213748888,0.178576307,0.093582539,0.161969244,0.588725738,0.411432555,0.710754289,0.570304194,0.313628538,0.249054246,0.165388899,0.242690561,0.994064102,0.98731314,0.986726077,0.996782104,0.150835946,0.107514437,0.153022894,0.9954
23,0.228062461,0.475309416,0.341060721,0.31269251,0.368806164,0.340853132,0.316367662,0.201917342,0.304575762,0.274286922,0.36993479,0.692742434,0.467366704,0.510014643,0.341060721,0.312692522,0.368806164,0.340853136,0.997808852,0.981644841,0.997942411,0.996799627,0.124237139,0.083124799,0.088952433,0.9954
24,0.225100549,0.487839949,0.261867195,0.215753487,0.1146557,0.197425461,0.170559763,0.141471732,0.06201591,0.124682469,0.56356711,0.454279275,0.758360287,0.592068891,0.261867195,0.215753478,0.1146557,0.197425458,0.992487748,0.981519234,0.977883606,0.996807246,0.110536819,0.077489054,0.087013018,0.9954
25,0.224989836,0.497844277,0.283096612,0.430775891,0.440023688,0.384632063,0.401911708,0.328192534,0.421575293,0.383893178,0.218501989,0.626647519,0.4601606,0.43510337,0.283096612,0.430775891,0.440023688,0.384632063,0.999108737,0.991400928,0.998782616,0.996888087,0.154598688,0.134739981,0.166909172,0.9954
26,0.217310796,0.452445379,0.357664931,0.470671534,0.339039107,0.389125191,0.269441638,0.434626653,0.23987164,0.314646644,0.531788463,0.513235698,0.577991858,0.54100534,0.357664931,0.470671534,0.339039107,0.389125191,0.996047743,0.995524434,0.996468362,0.996995182,0.109453587,0.076616348,0.117865953,0.9954
27,0.217215851,0.437396458,0.372106101,0.389586642,0.389753487,0.38381541,0.29196534,0.294027805,0.294348194,0.293447113,0.512887053,0.577164816,0.57666413,0.555572,0.372106101,0.389586642,0.389753487,0.38381541,0.996590733,0.990710098,0.997334379,0.997040012,0.12743151,0.087591261,0.105290212,0.9954
28,0.213043872,0.456084322,0.353420545,0.535118804,0.345051856,0.411197068,0.308797044,0.583155753,0.252067141,0.38133998,0.413119416,0.494393563,0.546736913,0.484749964,0.353420545,0.535118804,0.345051856,0.411197068,0.997465315,0.99763095,0.996871968,0.997057903,0.162449883,0.132371092,0.179946499,0.9954
29,0.209706241,0.45195113,0.389506185,0.402113315,0.359632238,0.383750579,0.468030681,0.301039548,0.26094262,0.343337617,0.33354518,0.605363628,0.578376838,0.505761882,0.389506185,0.402113315,0.359632238,0.383750579,0.998960839,0.990577688,0.996841431,0.99707028,0.144038952,0.107007154,0.106640698,0.9954
30,0.207474368,0.437897611,0.360841903,0.36452236,0.2263234,0.317229221,0.256618453,0.274988231,0.134967798,0.222191494,0.60762288,0.540507639,0.700408928,0.616179816,0.360841903,0.36452236,0.2263234,0.317229221,0.995175259,0.990446887,0.99134434,0.997079208,0.171053976,0.151860977,0.181753408,0.9954
31,0.20490445,0.452911513,0.329808926,0.338737205,0.233555281,0.300700471,0.247356378,0.247777276,0.140387678,0.211840444,0.494714656,0.535217459,0.694371709,0.574767942,0.329808926,0.338737205,0.233555281,0.300700471,0.995873925,0.989107505,0.991801922,0.997144152,0.090371955,0.055235263,0.068992613,0.9954
32,0.201226408,0.496890893,0.23451782,0.272446841,0.13709225,0.214685637,0.146905526,0.211937136,0.075790894,0.144877852,0.581043786,0.381315345,0.717092823,0.559817318,0.23451782,0.272446841,0.13709225,0.214685637,0.990751232,0.990495042,0.983139325,0.997111047,0.115337844,0.079905439,0.071913742,0.9954
33,0.203124251,0.476401691,0.234105404,0.28190478,0.090272955,0.20209438,0.14838273,0.205058891,0.047752148,0.133731256,0.554375486,0.450867545,0.824019134,0.609754055,0.234105404,0.28190478,0.090272952,0.202094379,0.991278702,0.988282973,0.968315944,0.997011153,0.143153277,0.118386855,0.110613411,0.9954
34,0.188181051,0.445195569,0.330286103,0.389838682,0.204022416,0.308049067,0.241765308,0.316036716,0.11859726,0.225466428,0.521073937,0.508611325,0.729423105,0.586369456,0.330286103,0.389838682,0.204022416,0.308049067,0.995520546,0.99262107,0.989547369,0.997164406,0.112015245,0.075017375,0.05828157,0.9954
35,0.183294777,0.437653987,0.349034309,0.397474552,0.238552425,0.328353762,0.271977989,0.312117887,0.142577778,0.242224551,0.487014351,0.547090533,0.729828093,0.587977659,0.349034309,0.397474552,0.238552425,0.328353762,0.996426708,0.99191711,0.991537282,0.997202594,0.138581467,0.094629014,0.077958863,0.9954
36,0.180776542,0.423145154,0.367162678,0.41610201,0.319045866,0.367436852,0.273249087,0.331925438,0.208315493,0.271163339,0.559436748,0.557479209,0.681068972,0.59932831,0.367162678,0.41610201,0.319045866,0.367436852,0.995921562,0.992478141,0.995009224,0.997302028,0.149880153,0.123610209,0.162160479,0.9954
37,0.179512791,0.461911267,0.212084667,0.293800058,0.126072609,0.210652444,0.127423516,0.217620731,0.068601035,0.137881761,0.631970973,0.452038663,0.777100644,0.620370093,0.212084667,0.293800058,0.126072609,0.210652444,0.98813775,0.989105564,0.979656357,0.997275237,0.187978651,0.127659295,0.142362857,0.9954
38,0.178253903,0.460678347,0.246988415,0.295089117,0.163196579,0.23509137,0.167852167,0.194888113,0.091696298,0.151478859,0.467306673,0.607362098,0.740964027,0.605210932,0.246988415,0.295089117,0.163196579,0.23509137,0.99364974,0.983179818,0.985847838,0.997260442,0.093685658,0.092137601,0.116874956,0.9954
39,0.176889786,0.443136692,0.32789776,0.35560289,0.243054488,0.308851713,0.25332102,0.257909257,0.145442129,0.218890802,0.464705189,0.572436542,0.739087021,0.592076251,0.32789776,0.35560289,0.243054488,0.308851713,0.996245464,0.988958463,0.991626766,0.997292727,0.1925519,0.145767931,0.196162067,0.9954
40,0.176333908,0.429156493,0.361428034,0.507854473,0.381323142,0.41686855,0.319244009,0.448206565,0.274615614,0.347355396,0.416457595,0.585815563,0.623658404,0.541977187,0.361428034,0.507854473,0.381323142,0.41686855,0.997565804,0.99516528,0.996823593,0.997408411,0.125577082,0.082831164,0.084689269,0.9954
41,0.174681132,0.424999732,0.362858555,0.40397512,0.316348292,0.361060656,0.261584713,0.31820919,0.207130494,0.262308132,0.592088673,0.553032151,0.669222491,0.604781105,0.362858555,0.40397512,0.316348292,0.361060656,0.995418675,0.992056701,0.995060596,0.997433274,0.202906892,0.145054228,0.195741279,0.9954
42,0.172080526,0.431285866,0.37209782,0.406702685,0.304798694,0.361199733,0.302106239,0.311186354,0.196371373,0.269887989,0.484299759,0.586823909,0.680588808,0.583904159,0.37209782,0.406702685,0.304798694,0.361199733,0.996933381,0.991292347,0.994629578,0.997427651,0.114268297,0.085145612,0.095364398,0.9954
43,0.167551879,0.449533755,0.266493447,0.306518133,0.190699518,0.254570366,0.174521104,0.209930518,0.109450075,0.164633899,0.563409185,0.567724212,0.740127983,0.623753794,0.266493447,0.306518133,0.190699518,0.254570366,0.992695374,0.985676827,0.988388311,0.997404637,0.176212799,0.123989315,0.151165681,0.9954
44,0.166074181,0.426046414,0.378575468,0.518307841,0.367734327,0.421539212,0.31635666,0.483532504,0.25861885,0.352836004,0.471259477,0.558472837,0.63612631,0.555286208,0.378575468,0.518307841,0.367734327,0.421539212,0.997208557,0.996001183,0.99648382,0.997472723,0.116747544,0.097511783,0.184266053,0.9954
45,0.165202506,0.432672707,0.34551475,0.440099967,0.341680214,0.375764977,0.247450795,0.376375638,0.230076076,0.28463417,0.572325509,0.529800777,0.663553277,0.588559854,0.34551475,0.440099967,0.341680214,0.375764977,0.995229047,0.994115274,0.995718475,0.997432692,0.183352458,0.11570593,0.168470002,0.9954
46,0.164459112,0.466192524,0.205416941,0.286699049,0.113619014,0.201911668,0.123584979,0.202727373,0.061203284,0.129171878,0.608014703,0.489422795,0.791329758,0.629589086,0.205416941,0.286699049,0.113619009,0.201911666,0.988181177,0.987096998,0.976595427,0.997462225,0.179042936,0.129368545,0.135959512,0.9954
47,0.163893057,0.451349961,0.430238933,0.574141019,0.562696333,0.522358762,0.601332122,0.598640395,0.640001515,0.613324677,0.334940463,0.551568078,0.502053734,0.462854091,0.430238933,0.574141019,0.562696333,0.522358762,0.999391332,0.997520987,0.999455477,0.997530875,0.187462748,0.118650227,0.17301113,0.9954
48,0.163029237,0.465170525,0.227101747,0.323458843,0.13397833,0.22817964,0.14058626,0.262379208,0.073128841,0.158698103,0.590474004,0.421604845,0.797899281,0.603326043,0.227101747,0.323458843,0.133978337,0.228179642,0.990105902,0.992054496,0.980500426,0.997434789,0.127864971,0.090229306,0.083149808,0.9954
49,0.161790889,0.427975151,0.357576247,0.458857755,0.35479372,0.390409241,0.278540273,0.374872418,0.242114907,0.298509199,0.49923428,0.591339826,0.663654524,0.584742877,0.357576247,0.458857755,0.35479372,0.390409241,0.996455585,0.993389498,0.995994375,0.997469996,0.171597947,0.115620698,0.214590025,0.9954
50,0.161243022,0.435997794,0.350222992,0.416563002,0.319136984,0.361974326,0.269587969,0.329619217,0.209446081,0.269551089,0.499679456,0.565805815,0.670060354,0.578515208,0.350222992,0.416563002,0.319136984,0.361974326,0.996289137,0.992285842,0.995123373,0.997566528,0.156281543,0.093509573,0.112855369,0.9954
51,0.160928654,0.441904268,0.341490346,0.432236671,0.282177828,0.351968282,0.257989577,0.365884164,0.176749014,0.266874252,0.504908886,0.527986105,0.699306126,0.577400372,0.341490346,0.432236671,0.282177828,0.351968282,0.996019507,0.993865777,0.993719576,0.997566927,0.092156515,0.086138708,0.094824276,0.9954
52,0.160681277,0.429476097,0.36111311,0.442781441,0.372679277,0.392191276,0.279562219,0.347559998,0.261115466,0.296079228,0.509837406,0.609867631,0.650693722,0.59013292,0.36111311,0.442781441,0.372679277,0.392191276,0.996398647,0.992325352,0.996449684,0.997586246,0.18839331,0.136976243,0.202858137,0.9954
53,0.160450333,0.451632638,0.281173939,0.364308025,0.214443401,0.286641788,0.187052719,0.285417649,0.125185935,0.199218768,0.565947499,0.503468324,0.74718737,0.605534398,0.281173939,0.364308025,0.214443401,0.286641788,0.993257973,0.991550019,0.989932164,0.997630372,0.166026657,0.115779678,0.134769747,0.9954
54,0.160165194,0.436706257,0.354097688,0.398711342,0.316360488,0.356389839,0.279713573,0.299099584,0.207350246,0.262054468,0.482375643,0.597802875,0.667047201,0.582408573,0.354097688,0.398711342,0.316360488,0.356389839,0.996595188,0.990609026,0.995083232,0.997681143,0.187304637,0.112010092,0.164230756,0.9954
55,0.159692274,0.456974568,0.265565051,0.345684064,0.190435226,0.267228114,0.175017201,0.264987888,0.108965932,0.18299034,0.550240429,0.497049428,0.754672358,0.600654072,0.265565051,0.345684064,0.190435226,0.267228114,0.992890605,0.990757698,0.988101057,0.997582637,0.114346547,0.108623389,0.17203118,0.9954
56,0.15959035,0.461982278,0.201947629,0.298769306,0.133867289,0.211528075,0.120924029,0.217268644,0.073254741,0.137149138,0.61203153,0.478118635,0.775689251,0.621946472,0.201947629,0.298769306,0.133867289,0.211528075,0.987804388,0.988453152,0.981078359,0.997429542,0.19914929,0.122571435,0.153018981,0.9954
57,0.159499339,0.434523529,0.341671963,0.451492229,0.313026955,0.368730382,0.243443102,0.413572612,0.201892476,0.28630273,0.572792879,0.4970673,0.696332987,0.588731055,0.341671963,0.451492229,0.313026955,0.368730382,0.995120697,0.995275131,0.994692321,0.997662593,0.16554956,0.102246475,0.113499864,0.9954
58,0.159429086,0.465452663,0.228309599,0.344871496,0.187451715,0.25354427,0.139727111,0.291355367,0.106844943,0.17930914,0.623741834,0.422470918,0.763325624,0.603179459,0.228309599,0.344871496,0.187451715,0.25354427,0.989473683,0.993111663,0.987696488,0.997727579,0.197348768,0.178596727,0.198318121,0.9954
59,0.159320294,0.428305805,0.351872318,0.437865833,0.391955802,0.393897984,0.271911161,0.342172928,0.286457389,0.300180492,0.498452768,0.607861978,0.620464583,0.57559311,0.351872318,0.437865833,0.391955802,0.393897984,0.996341548,0.992166007,0.997019952,0.997728542,0.168890638,0.142857676,0.195427496,0.9954
60,0.159256919,0.445608384,0.274262301,0.321530116,0.244004067,0.279932162,0.178698831,0.226560303,0.146984653,0.184081262,0.58952475,0.55358074,0.717796094,0.620300528,0.274262301,0.321530116,0.244004067,0.279932162,0.99257325,0.987331193,0.99196784,0.997673944,0.224654735,0.139484606,0.187455278,0.9954
61,0.159110126,0.432426999,0.354858127,0.438354489,0.296412203,0.363208273,0.274800302,0.371336822,0.187277418,0.277804847,0.50073883,0.534889637,0.710384465,0.582004311,0.354858127,0.438354489,0.296412203,0.363208273,0.996377839,0.993929474,0.994055754,0.997769195,0.065366782,0.059150771,0.070841165,0.9954
62,0.159076123,0.452865335,0.278968811,0.377366121,0.195236039,0.28385699,0.185349871,0.318135548,0.111735191,0.205073537,0.563679364,0.463697452,0.772631234,0.600002684,0.278968811,0.377366121,0.195236039,0.28385699,0.993209105,0.99333757,0.988156744,0.997760304,0.109621289,0.120186958,0.113941449,0.9954
63,0.159051117,0.432014638,0.359962286,0.505869529,0.407881073,0.424570963,0.274845356,0.464873797,0.303404009,0.347707721,0.521450394,0.554795135,0.622101507,0.566115679,0.359962286,0.505869529,0.407881073,0.424570963,0.996228872,0.995718796,0.997245979,0.997816665,0.217600845,0.141156133,0.176325079,0.9954
64,0.159026096,0.424383437,0.367256501,0.435626731,0.378872592,0.393918608,0.29393541,0.341759448,0.267580787,0.301091881,0.489314071,0.600581914,0.648663936,0.579519974,0.367256501,0.435626731,0.378872592,0.393918608,0.996778217,0.992245595,0.996576495,0.997871488,0.171487214,0.13508767,0.198633106,0.9954
65,0.158995493,0.440315313,0.364031708,0.520642724,0.475342401,0.453338944,0.341403431,0.461192094,0.423414711,0.408670079,0.389872525,0.597688637,0.541787339,0.509782834,0.364031708,0.520642724,0.475342401,0.453338944,0.997938467,0.995318994,0.998577433,0.997527566,0.189320549,0.190018915,0.210317991,0.9954
66,0.158975276,0.445861856,0.310512943,0.380943481,0.270405118,0.320620514,0.214927597,0.295029797,0.166848019,0.225601804,0.55921352,0.537451063,0.712844095,0.603169559,0.310512943,0.380943481,0.270405118,0.320620514,0.99440099,0.991390936,0.993136524,0.997713832,0.14884832,0.098525594,0.11942006,0.9954
67,0.15892201,0.438035232,0.349280651,0.439093598,0.299040157,0.362471469,0.261687464,0.373285426,0.19030786,0.275093583,0.525016497,0.533071111,0.697631613,0.58523974,0.349280651,0.439093598,0.299040157,0.362471469,0.995939811,0.994000349,0.994276842,0.997854318,0.168927111,0.135218952,0.157449702,0.9954
68,0.158913717,0.438038045,0.318302114,0.379778815,0.316422668,0.338167866,0.222059509,0.284674464,0.205905494,0.237546489,0.561784699,0.57030789,0.683030856,0.605041148,0.318302114,0.379778815,0.316422668,0.338167866,0.994605354,0.990393245,0.994920851,0.997844309,0.18022618,0.119767898,0.179672032,0.9954
69,0.158906542,0.447777358,0.316788304,0.374583625,0.29449196,0.328621296,0.228401371,0.275377011,0.188826668,0.23086835,0.516767297,0.585522433,0.668675031,0.590321587,0.316788304,0.374583625,0.29449196,0.328621296,0.995214759,0.989671433,0.994461249,0.997869589,0.11966392,0.106826925,0.088168821,0.9954
70,0.158900883,0.45522733,0.294396798,0.37640126,0.207049469,0.292615842,0.202696044,0.311350369,0.120042687,0.211363033,0.537618006,0.47581372,0.752356413,0.588596046,0.294396798,0.37640126,0.207049469,0.292615842,0.994203465,0.992944984,0.989366018,0.997864013,0.144560301,0.11533605,0.130359126,0.9954
71,0.158891712,0.433898624,0.340203767,0.36456018,0.316753754,0.340505901,0.24678093,0.262169525,0.206399404,0.238449953,0.547449436,0.598180282,0.680699148,0.608776289,0.340203767,0.36456018,0.316753754,0.340505901,0.995419955,0.988714558,0.994953444,0.997941528,0.161095844,0.104712135,0.191085384,0.9954
72,0.158883274,0.44588578,0.296752547,0.365274199,0.262663,0.308229916,0.200271036,0.279938571,0.160351211,0.213520273,0.572610199,0.525451136,0.725684856,0.607915397,0.296752547,0.365274199,0.262663,0.308229916,0.993732422,0.990939519,0.992673107,0.997945244,0.136691934,0.132464941,0.115102283,0.9954
73,0.158867856,0.422204796,0.374737715,0.494063663,0.406709416,0.425170265,0.311844461,0.422468113,0.298114524,0.344142366,0.469408774,0.594877359,0.639754219,0.56801345,0.374737715,0.494063663,0.406709416,0.425170265,0.99716067,0.99454843,0.997095692,0.997996518,0.215626687,0.207118637,0.24802114,0.9954
74,0.158865385,0.45730426,0.210625285,0.274170933,0.205258115,0.230018111,0.126844119,0.182125973,0.119343903,0.142771332,0.620407496,0.554319434,0.732770919,0.635832616,0.210625285,0.274170944,0.205258115,0.230018115,0.988293839,0.983312674,0.989573928,0.997965509,0.106228706,0.08662619,0.074837694,0.9954
75,0.158861938,0.444921792,0.301241062,0.367228175,0.249390614,0.305953284,0.206147762,0.284039801,0.150337721,0.213508428,0.55918663,0.519326246,0.731070336,0.603194404,0.301241062,0.367228175,0.249390614,0.305953284,0.994097529,0.991224698,0.9920332,0.998006082,0.149897674,0.133678078,0.138916314,0.9954
76,0.158860299,0.422547023,0.382964035,0.498519525,0.353130797,0.411538119,0.3030301,0.486709185,0.237538693,0.342425993,0.520177609,0.510917291,0.687860389,0.572985096,0.382964035,0.498519525,0.353130797,0.411538119,0.996720588,0.996387926,0.99574274,0.997769563,0.085767265,0.067316328,0.068774269,0.9954
77,0.158858607,0.450656246,0.262159159,0.325056112,0.268146662,0.285120645,0.165234115,0.243027076,0.164604734,0.190955308,0.634141792,0.490673284,0.72283297,0.615882682,0.262159159,0.325056112,0.268146662,0.285120645,0.991218527,0.98975457,0.992926505,0.997965587,0.081812219,0.079853283,0.069520483,0.9954
78,0.158856022,0.461943373,0.26785019,0.367092614,0.223059067,0.286000624,0.17615898,0.293547591,0.1318644,0.200523657,0.558606151,0.489808612,0.723229469,0.590548078,0.26785019,0.367092614,0.223059067,0.286000624,0.99283922,0.992097893,0.990819158,0.998030336,0.148002856,0.12006181,0.122477828,0.9954
79,0.158854503,0.441421591,0.295642729,0.3633015,0.278963015,0.312635748,0.194105252,0.281981086,0.171961851,0.216016063,0.619932869,0.510534278,0.738461958,0.622976368,0.295642729,0.3633015,0.278963015,0.312635748,0.992944924,0.99128529,0.993143654,0.998071593,0.079464111,0.072569913,0.056257707,0.9954
