epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
1,0.9063,0.9029,0.0691,0.0716,0.0102,0.2603,0.0102,0.0072,0.0038,0.1989,0.0072,0.9182,0.0045,0.0103,0.0052,0.5734,0.0103,0.281,0.0047,0.0001,0.0,0.003,0.0001,0.8672,0.0001
2,0.8983,0.8945,0.0995,0.0998,0.0129,0.2808,0.0129,0.012,0.0067,0.1294,0.012,0.9668,0.0071,0.0103,0.0052,0.6677,0.0103,0.1637,0.014,0.0002,0.0001,0.0017,0.0002,0.9659,0.0002
3,0.8889,0.8857,0.1286,0.1314,0.0094,0.2557,0.0094,0.0084,0.0047,0.0743,0.0084,0.9717,0.0048,0.0117,0.0059,0.75,0.0117,0.1712,0.0199,0.0001,0.0,0.0003,0.0001,0.9825,0.0001
4,0.8816,0.8846,0.15,0.1274,0.0093,0.3195,0.0093,0.005,0.003,0.0273,0.005,0.9803,0.0024,0.0131,0.0066,0.8487,0.0131,0.1782,0.0129,0.0002,0.0001,0.0006,0.0002,0.9878,0.0002
5,0.8771,0.8779,0.1686,0.1732,0.0097,0.3079,0.0097,0.0033,0.0022,0.0092,0.0033,0.9898,0.0012,0.0138,0.007,0.8908,0.0138,0.1811,0.0077,0.0001,0.0001,0.0001,0.0001,0.9936,0.0001
6,0.872,0.8658,0.2171,0.2852,0.0123,0.3105,0.0123,0.0041,0.0033,0.007,0.0041,0.9943,0.0014,0.015,0.0076,0.9283,0.015,0.2234,0.0059,0.0001,0.0001,0.0001,0.0001,0.9953,0.0001
7,0.8643,0.8608,0.3714,0.4452,0.0259,0.3075,0.0259,0.0052,0.0049,0.0083,0.0052,0.9956,0.0017,0.0272,0.0139,0.9681,0.0272,0.4861,0.0016,0.0003,0.0002,0.0043,0.0003,0.8867,0.0001
8,0.8601,0.8569,0.4377,0.4814,0.0358,0.3478,0.0358,0.0192,0.0202,0.0238,0.0192,0.9977,0.007,0.0384,0.0199,0.967,0.0384,0.6431,0.0012,0.0022,0.0011,0.0528,0.0022,0.7947,0.0008
9,0.8578,0.8569,0.4525,0.4791,0.0324,0.4008,0.0324,0.0244,0.0246,0.0313,0.0244,0.9979,0.0088,0.0235,0.0119,0.9652,0.0235,0.4864,0.0033,0.0369,0.0212,0.193,0.0369,0.9652,0.0147
10,0.855,0.8483,0.4554,0.5273,0.0228,0.418,0.0228,0.0104,0.0117,0.0118,0.0104,0.998,0.0033,0.023,0.0117,0.9268,0.023,0.4885,0.0081,0.0695,0.0389,0.502,0.0695,0.9659,0.0223
11,0.8518,0.8495,0.4625,0.5158,0.0262,0.4524,0.0262,0.0015,0.0018,0.0016,0.0015,0.9981,0.0008,0.0236,0.012,0.9142,0.0236,0.5055,0.0093,0.0832,0.0463,0.6638,0.0832,0.9558,0.0191
12,0.8497,0.8495,0.4711,0.4926,0.0302,0.424,0.0302,0.0039,0.0044,0.0041,0.0039,0.9983,0.001,0.0233,0.0119,0.9186,0.0233,0.5008,0.0098,0.116,0.0665,0.709,0.116,0.969,0.0277
13,0.8477,0.8475,0.5373,0.8086,0.0528,0.4669,0.0528,0.0087,0.011,0.0089,0.0087,0.9983,0.0017,0.0384,0.0205,0.9046,0.0384,0.5663,0.0097,0.1403,0.0821,0.7592,0.1403,0.9702,0.0325
14,0.8457,0.8401,0.7562,0.9222,0.1042,0.431,0.1042,0.0573,0.0603,0.0706,0.0573,0.9984,0.0165,0.097,0.0539,0.9132,0.097,0.7815,0.0113,0.1578,0.0941,0.782,0.1578,0.9753,0.0403
15,0.8435,0.8393,0.9115,0.922,0.1164,0.4989,0.1164,0.1831,0.1599,0.2872,0.1831,0.9977,0.0778,0.1444,0.0813,0.91,0.1444,0.9274,0.0155,0.2048,0.1286,0.7572,0.2048,0.9861,0.0687
16,0.8411,0.8349,0.9301,0.9358,0.1443,0.4738,0.1443,0.2154,0.177,0.3857,0.2154,0.9974,0.0945,0.1624,0.0924,0.9089,0.1624,0.9438,0.0182,0.2442,0.1587,0.7683,0.2442,0.9887,0.0956
17,0.8393,0.8322,0.9351,0.9302,0.1789,0.5784,0.1789,0.2205,0.177,0.4063,0.2205,0.9972,0.0955,0.1702,0.0974,0.9033,0.1702,0.9475,0.0195,0.2654,0.1764,0.773,0.2654,0.9902,0.1095
18,0.837,0.835,0.9419,0.9307,0.1634,0.5252,0.1634,0.2376,0.1871,0.4512,0.2376,0.9971,0.104,0.1803,0.1038,0.9101,0.1803,0.9516,0.0205,0.3024,0.2059,0.7823,0.3024,0.993,0.1321
19,0.8349,0.822,0.9363,0.9313,0.2287,0.6078,0.2287,0.2445,0.1912,0.4576,0.2445,0.997,0.1048,0.1667,0.0951,0.9162,0.1667,0.944,0.0192,0.3919,0.2959,0.7947,0.3919,0.9951,0.1919
20,0.8332,0.8182,0.9391,0.9247,0.2136,0.6055,0.2136,0.2437,0.1943,0.4607,0.2437,0.9971,0.1105,0.1648,0.0941,0.8914,0.1648,0.9447,0.0196,0.4835,0.3888,0.7953,0.4835,0.9971,0.2615
21,0.8306,0.8029,0.9506,0.9553,0.2566,0.5925,0.2566,0.2662,0.2139,0.4828,0.2662,0.9973,0.1212,0.1924,0.1121,0.8996,0.1924,0.9554,0.0242,0.5149,0.4176,0.813,0.5149,0.9976,0.2797
22,0.828,0.8133,0.9635,0.949,0.2267,0.6073,0.2267,0.2805,0.2235,0.5006,0.2805,0.9974,0.1279,0.2509,0.1528,0.9093,0.2509,0.9683,0.0361,0.5368,0.4444,0.8012,0.5368,0.9978,0.3052
23,0.8258,0.8229,0.9738,0.9681,0.3004,0.6091,0.3004,0.2711,0.2166,0.5101,0.2711,0.9969,0.1249,0.3225,0.2064,0.909,0.3225,0.9789,0.0538,0.5492,0.4572,0.8076,0.5492,0.9979,0.3201
24,0.8231,0.817,0.9785,0.9789,0.3524,0.5879,0.3524,0.2978,0.2453,0.5054,0.2978,0.9976,0.1412,0.3629,0.2389,0.9108,0.3629,0.9828,0.0677,0.554,0.4539,0.8228,0.554,0.9981,0.313
25,0.8204,0.8246,0.9807,0.968,0.2937,0.6081,0.2937,0.3341,0.2785,0.5294,0.3341,0.9981,0.1653,0.3916,0.2632,0.9241,0.3916,0.9847,0.078,0.5519,0.4583,0.8138,0.5519,0.998,0.3261
26,0.8174,0.8113,0.9788,0.9806,0.3749,0.6066,0.3749,0.3766,0.3642,0.4857,0.3766,0.9989,0.1993,0.3724,0.2486,0.9195,0.3724,0.982,0.0754,0.5438,0.4448,0.8342,0.5438,0.9978,0.3049
27,0.8147,0.8105,0.9759,0.9613,0.286,0.6182,0.286,0.4245,0.4157,0.5293,0.4245,0.9989,0.2408,0.3664,0.2473,0.9194,0.3664,0.9792,0.0809,0.5422,0.4513,0.8184,0.5422,0.9977,0.3244
28,0.8118,0.7885,0.9831,0.9823,0.3871,0.6344,0.3871,0.4271,0.4149,0.5297,0.4271,0.999,0.2383,0.4161,0.286,0.922,0.4161,0.9862,0.0937,0.5578,0.4653,0.8222,0.5578,0.9979,0.3302
29,0.81,0.7872,0.9804,0.9736,0.346,0.5791,0.346,0.3627,0.3461,0.4981,0.3627,0.9983,0.2041,0.4012,0.2756,0.9065,0.4012,0.9852,0.0934,0.5243,0.4354,0.8184,0.5243,0.997,0.3062
30,0.8068,0.8089,0.9834,0.9195,0.1924,0.6285,0.1924,0.3863,0.3812,0.5023,0.3863,0.9986,0.2215,0.4414,0.3142,0.8982,0.4414,0.9876,0.1122,0.5229,0.4383,0.8148,0.5229,0.9974,0.3073
31,0.8027,0.8152,0.9831,0.966,0.3024,0.5604,0.3024,0.3925,0.3869,0.5108,0.3925,0.9984,0.2264,0.4489,0.3227,0.8946,0.4489,0.988,0.1193,0.5035,0.4144,0.8268,0.5035,0.9968,0.2966
32,0.7995,0.7779,0.9846,0.9847,0.3824,0.5924,0.3824,0.4256,0.436,0.5026,0.4256,0.999,0.2468,0.4565,0.3288,0.9054,0.4565,0.9881,0.1267,0.5463,0.4595,0.8324,0.5463,0.9976,0.3273
33,0.7959,0.7967,0.9863,0.9778,0.3506,0.6209,0.3506,0.4084,0.3914,0.5229,0.4084,0.9987,0.2366,0.4847,0.3553,0.9033,0.4847,0.99,0.1341,0.5556,0.4677,0.8419,0.5556,0.9977,0.3349
34,0.7923,0.7736,0.9858,0.975,0.3629,0.5993,0.3629,0.4042,0.3917,0.5271,0.4042,0.9986,0.2347,0.4737,0.3417,0.9111,0.4737,0.9896,0.1323,0.5465,0.4572,0.8286,0.5465,0.9976,0.3355
35,0.7886,0.8132,0.9878,0.977,0.334,0.6115,0.334,0.4411,0.4298,0.5353,0.4411,0.9991,0.2556,0.5004,0.3727,0.9039,0.5004,0.9908,0.143,0.5679,0.4814,0.8315,0.5679,0.998,0.3461
36,0.7858,0.8089,0.9874,0.9796,0.3453,0.5787,0.3453,0.4168,0.4048,0.5268,0.4168,0.9988,0.2409,0.5002,0.3695,0.9098,0.5002,0.9907,0.1455,0.5743,0.4928,0.827,0.5743,0.998,0.3509
37,0.7819,0.8007,0.9864,0.9736,0.3292,0.5687,0.3292,0.4263,0.4252,0.5316,0.4263,0.9989,0.2527,0.4821,0.3601,0.8904,0.4821,0.9898,0.1469,0.5743,0.4875,0.8389,0.5743,0.9979,0.3529
38,0.7776,0.7908,0.9874,0.9855,0.4149,0.6327,0.4113,0.4346,0.4335,0.5359,0.4346,0.9991,0.2563,0.4954,0.3678,0.9096,0.4954,0.9902,0.144,0.5833,0.5035,0.8317,0.5833,0.9982,0.37
39,0.7746,0.7854,0.9882,0.9884,0.4291,0.5951,0.4255,0.4159,0.4127,0.5267,0.4159,0.9987,0.2468,0.5172,0.3903,0.8979,0.5172,0.9915,0.1557,0.5741,0.4864,0.8332,0.5741,0.9981,0.3519
40,0.7724,0.7561,0.988,0.9829,0.4019,0.6468,0.3983,0.4508,0.4387,0.5421,0.4508,0.9991,0.2676,0.5001,0.372,0.9033,0.5001,0.9907,0.1507,0.5947,0.5157,0.8325,0.5947,0.9984,0.3828
41,0.7676,0.795,0.985,0.9671,0.2754,0.5541,0.2754,0.3847,0.3588,0.5388,0.3847,0.9983,0.232,0.4697,0.3523,0.8825,0.4697,0.9896,0.1518,0.5501,0.4732,0.8126,0.5501,0.9974,0.3594
42,0.7624,0.759,0.9876,0.9806,0.3639,0.6239,0.3603,0.4245,0.4141,0.5319,0.4245,0.9989,0.2549,0.4988,0.3747,0.8979,0.4988,0.9906,0.1559,0.5887,0.5204,0.8103,0.5887,0.9983,0.3803
43,0.7576,0.7496,0.9885,0.9502,0.2848,0.5787,0.2848,0.4167,0.4062,0.5252,0.4167,0.9988,0.2513,0.5172,0.3919,0.8975,0.5172,0.9915,0.1634,0.5963,0.5163,0.8308,0.5963,0.9983,0.387
44,0.7534,0.748,0.9894,0.9544,0.2813,0.5802,0.2813,0.4388,0.4228,0.5506,0.4388,0.9989,0.2601,0.5364,0.4114,0.9003,0.5364,0.9922,0.1716,0.6052,0.5313,0.8219,0.6052,0.9985,0.397
45,0.7468,0.7718,0.9894,0.9544,0.2931,0.6147,0.2931,0.4619,0.4724,0.5374,0.4619,0.9992,0.288,0.5288,0.4008,0.9115,0.5288,0.9918,0.1684,0.6114,0.5285,0.8407,0.6114,0.9984,0.3895
46,0.7444,0.8031,0.9891,0.9406,0.271,0.6274,0.271,0.4304,0.4144,0.5504,0.4304,0.9987,0.2652,0.5263,0.4013,0.9005,0.5263,0.9921,0.1677,0.6129,0.5427,0.8292,0.6129,0.9985,0.4087
47,0.739,0.7563,0.9867,0.9639,0.2975,0.5826,0.2975,0.4265,0.411,0.5411,0.4265,0.9989,0.248,0.5037,0.3848,0.9005,0.5037,0.9896,0.1655,0.5915,0.5273,0.817,0.5915,0.9983,0.3839
48,0.7363,0.74,0.9881,0.9818,0.3651,0.6182,0.3651,0.4005,0.3979,0.516,0.4005,0.9987,0.2392,0.5161,0.3996,0.8745,0.5161,0.9913,0.1727,0.5946,0.5305,0.81,0.5946,0.9984,0.3847
49,0.7304,0.741,0.9886,0.9813,0.368,0.5932,0.3644,0.4178,0.4156,0.5296,0.4178,0.9989,0.252,0.5198,0.4038,0.8795,0.5198,0.9918,0.1711,0.5777,0.5062,0.8063,0.5777,0.9983,0.3763
50,0.7229,0.7553,0.9897,0.9883,0.4174,0.5905,0.4174,0.4457,0.4626,0.5358,0.4457,0.9991,0.2709,0.5301,0.4078,0.8934,0.5301,0.9924,0.1722,0.6078,0.5423,0.8147,0.6078,0.9985,0.3965
51,0.7171,0.7489,0.9905,0.9782,0.3526,0.6517,0.3526,0.4531,0.4506,0.5405,0.4531,0.999,0.2759,0.5586,0.4393,0.8993,0.5586,0.9931,0.1937,0.6368,0.5666,0.8315,0.6368,0.9986,0.422
52,0.7098,0.72,0.9904,0.9678,0.3226,0.5868,0.3226,0.4707,0.4603,0.5801,0.4707,0.9991,0.2925,0.5502,0.4277,0.9036,0.5502,0.9928,0.1883,0.6417,0.5758,0.83,0.6417,0.9988,0.4366
53,0.7023,0.7222,0.9913,0.9816,0.4026,0.6615,0.4026,0.4891,0.4957,0.5717,0.4891,0.9992,0.3076,0.5695,0.4488,0.9036,0.5695,0.9934,0.2006,0.6565,0.5885,0.843,0.6565,0.9988,0.4447
54,0.6981,0.7317,0.9909,0.9751,0.3449,0.6224,0.3449,0.4743,0.4673,0.5765,0.4743,0.9992,0.2948,0.5549,0.4362,0.8912,0.5549,0.9932,0.1947,0.6366,0.5682,0.8251,0.6366,0.9987,0.4295
55,0.6931,0.7572,0.9892,0.9668,0.3044,0.5932,0.3044,0.4439,0.4301,0.5505,0.4439,0.9988,0.28,0.5505,0.44,0.8835,0.5505,0.9924,0.1995,0.5996,0.5457,0.8013,0.5996,0.9983,0.4147
56,0.6838,0.7489,0.9914,0.9906,0.4283,0.5671,0.4247,0.4902,0.499,0.5732,0.4902,0.9992,0.3153,0.5702,0.4531,0.8913,0.5702,0.9937,0.2093,0.6449,0.5839,0.8348,0.6449,0.9988,0.4425
57,0.6768,0.6888,0.991,0.9821,0.3767,0.6098,0.3767,0.4646,0.4532,0.5859,0.4646,0.9989,0.2996,0.5771,0.464,0.8965,0.5771,0.9937,0.2131,0.6348,0.5748,0.8239,0.6348,0.9986,0.4466
58,0.6757,0.681,0.9913,0.9904,0.4378,0.6041,0.4342,0.5145,0.551,0.5618,0.5145,0.9994,0.3278,0.5662,0.4523,0.8925,0.5662,0.9935,0.2072,0.6373,0.5792,0.8196,0.6373,0.9986,0.4344
59,0.6647,0.6859,0.9923,0.9801,0.3649,0.5726,0.3649,0.4984,0.4967,0.5848,0.4984,0.9993,0.3201,0.597,0.4815,0.8964,0.597,0.9944,0.2319,0.6562,0.5899,0.8327,0.6562,0.9989,0.4582
60,0.6557,0.6799,0.9921,0.9824,0.3903,0.6457,0.3903,0.4933,0.4893,0.5798,0.4933,0.9992,0.3223,0.5955,0.4853,0.8947,0.5955,0.9944,0.2342,0.6549,0.6002,0.8186,0.6549,0.9989,0.4654
61,0.6457,0.6992,0.992,0.9833,0.403,0.581,0.403,0.5078,0.5287,0.573,0.5078,0.9993,0.3339,0.5998,0.4941,0.8967,0.5998,0.9943,0.2433,0.6432,0.5868,0.8249,0.6432,0.9987,0.4593
62,0.6433,0.6518,0.993,0.9863,0.42,0.5862,0.42,0.5235,0.5719,0.554,0.5235,0.9995,0.3496,0.6153,0.5074,0.8896,0.6153,0.995,0.2515,0.6594,0.6023,0.8236,0.6594,0.9989,0.4595
63,0.6363,0.6842,0.9928,0.9844,0.3709,0.6229,0.3709,0.5116,0.5508,0.563,0.5116,0.9994,0.3371,0.6069,0.498,0.8965,0.6069,0.9947,0.24,0.6506,0.6291,0.7725,0.6506,0.9991,0.4722
64,0.6278,0.6985,0.9925,0.975,0.332,0.6272,0.332,0.4963,0.5299,0.5636,0.4963,0.9992,0.334,0.5984,0.4982,0.8847,0.5984,0.9947,0.2468,0.6516,0.6124,0.7911,0.6516,0.999,0.472
65,0.6141,0.6314,0.9925,0.9855,0.4202,0.607,0.4202,0.5342,0.5521,0.5929,0.5342,0.9994,0.3602,0.6048,0.5048,0.8846,0.6048,0.9947,0.2589,0.6577,0.6057,0.8288,0.6577,0.9989,0.4767
66,0.6076,0.6884,0.9935,0.9841,0.4052,0.6303,0.4052,0.5521,0.6002,0.577,0.5521,0.9995,0.3755,0.6271,0.5222,0.9007,0.6271,0.9953,0.2687,0.6801,0.629,0.8278,0.6801,0.9991,0.4915
67,0.6024,0.6337,0.9939,0.9817,0.4032,0.6389,0.4032,0.5482,0.6034,0.5776,0.5482,0.9996,0.3802,0.6345,0.5425,0.8821,0.6345,0.9956,0.2848,0.6894,0.6391,0.8275,0.6894,0.9991,0.5017
68,0.5925,0.6092,0.9936,0.9886,0.4696,0.6503,0.466,0.5541,0.5697,0.6115,0.5541,0.9995,0.3791,0.6337,0.5399,0.8917,0.6337,0.9956,0.2809,0.6661,0.6184,0.8186,0.6661,0.999,0.4927
69,0.5768,0.6872,0.9945,0.9864,0.4198,0.6402,0.4198,0.5569,0.5877,0.6108,0.5569,0.9996,0.3868,0.6568,0.5623,0.8914,0.6568,0.9962,0.2988,0.6975,0.6497,0.8229,0.6975,0.9993,0.5243
